size, threshold, loops, keycomps, time, stddev
8192, 256, 1024, 1085385, 0.007632962344726563, 1.156289973386592e-05
8192, 512, 1024, 2125796, 0.012313620682617186, 1.772768146666753e-05
8192, 1024, 1024, 4214771, 0.02158155820117188, 1.0120130955272564e-05
8192, 2048, 1024, 8400889, 0.040459779813476565, 3.826776892064133e-05
8192, 4096, 1024, 16781311, 0.07831274775390626, 0.00010600327212532926
8192, 8192, 1024, 33550336, 0.15465386988867189, 3.88557030943879e-05
16384, 0, 128, 208675, 0.0133884975078125, 8.210066357659044e-05
16384, 1, 128, 208675, 0.013351735421875, 9.522725636164827e-05
16384, 2, 128, 208675, 0.013322343437500002, 6.0533751273745286e-05
16384, 4, 128, 214151, 0.013179651890625001, 5.2733774733331394e-05
16384, 8, 128, 233776, 0.0131667932265625, 5.950666368285818e-05
16384, 16, 128, 284762, 0.013297277445312498, 6.096675966417889e-05
16384, 32, 128, 400395, 0.013683633875000002, 6.1033805025878976e-05
16384, 64, 128, 646662, 0.014468079460937502, 6.466129031556714e-05
16384, 128, 128, 1154835, 0.0165094604609375, 6.801236229960892e-05
16384, 256, 128, 2187154, 0.021003691835937498, 7.548011710677957e-05
16384, 512, 128, 4267975, 0.03040688878125, 7.485216570538498e-05
16384, 1024, 128, 8445926, 0.0489788801640625, 4.916424078547613e-05
16384, 2048, 128, 16818162, 0.0866009692734375, 6.079304463864611e-05
16384, 4096, 128, 33579002, 0.163249875875, 9.331674718166678e-05
16384, 8192, 128, 67117055, 0.31466273121875, 9.538074418899259e-05
16384, 16384, 128, 134209536, 0.6192761991093749, 9.025960486201e-05
32768, 0, 32, 450171, 0.053389086375, 0.0001853411170771425
32768, 1, 32, 450171, 0.052105396, 0.000226867074473137
32768, 2, 32, 450171, 0.05257276375, 0.0002553428774543078
32768, 4, 32, 461156, 0.051324687281249996, 0.00023866458227655196
32768, 8, 32, 500373, 0.05261901790625, 0.00016349228113304843
32768, 16, 32, 602266, 0.0529027586875, 0.0002179257821873396
32768, 32, 32, 833558, 0.0545873840625, 0.00021647412223887769
32768, 64, 32, 1326067, 0.05521873303125, 0.00019734455767179512
32768, 128, 32, 2342400, 0.0577776160625, 0.00019579796688043538
32768, 256, 32, 4407054, 0.06771527690625001, 0.00022293822761912895
32768, 512, 32, 8568712, 0.08613206703125001, 0.00022505491607182398
32768, 1024, 32, 16924614, 0.12383248875000001, 0.00020904884181531131
32768, 2048, 32, 33669090, 0.19826499984375, 0.0001737593058981322
32768, 4096, 32, 67190772, 0.35046923215625003, 0.00023079084458683307
32768, 8192, 32, 134266875, 0.65545627765625, 0.00023318254376852784
32768, 16384, 32, 268451837, 1.26329385853125, 0.0002714565868256443
32768, 32768, 32, 536854528, 2.4737870919375, 0.0002442653192607381
65536, 0, 8, 965693, 0.225350112375, 0.00047530955248581115
65536, 1, 8, 965693, 0.222793048125, 0.0005260243841888635
65536, 2, 8, 965693, 0.225643442375, 0.0003206057026330627
65536, 4, 8, 987673, 0.21750475187499999, 0.0005689683915339171
65536, 8, 8, 1066234, 0.219750555625, 0.000599637107922052
65536, 16, 8, 1270089, 0.21863293450000001, 0.0005689202298145907
65536, 32, 8, 1732691, 0.222045554375, 0.0006997525494646409
65536, 64, 8, 2717698, 0.228488596875, 0.0004605756180192763
65536, 128, 8, 4750362, 0.235600587625, 0.0005184173003690928
65536, 256, 8, 8879640, 0.252405966375, 0.0006179814095238872
65536, 512, 8, 17202956, 0.28815513775, 0.0005760138911278262
65536, 1024, 8, 33914764, 0.35838568375, 0.0005877112193544299
